EMD_CD,EMD_NM,SGG_OID,COL_ADM_SE,GID,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,TOTAL,CHARGE
29170129,연제동,1430,29170,5666,0,0,0,0,3,0,0,0,0,3,6,0
29170109,운암동,1431,29170,5667,1,2,1,0,13,1,0,13,3,3,37,3
29200176,덕림동,1556,29200,5661,0,0,1,0,0,0,0,0,0,1,2,1
29200160,삼거동,1560,29200,5662,0,0,3,0,0,0,0,3,0,1,7,0
29170108,북구_동림동,1429,29170,5665,0,0,1,0,6,0,0,3,1,6,17,3
29170127,일곡동,1433,29170,5669,0,0,0,0,5,0,0,4,1,2,12,2
29110118,서석동,2069,29110,5651,0,0,0,0,0,1,1,1,1,8,12,3
29110112,남동,2071,29110,5652,0,0,0,0,1,0,0,0,0,0,1,0
29170128,북구_양산동,1437,29170,5680,0,0,4,0,9,0,0,5,0,0,18,1
29170117,매곡동,1435,29170,5679,0,0,0,0,8,0,1,3,1,0,13,0
29110113,광산동,2072,29110,5653,0,1,0,0,1,0,0,0,0,0,2,0
29140125,서창동,1098,29140,5263,0,0,1,0,0,0,0,0,0,5,6,0
29140129,벽진동,1099,29140,5264,0,0,0,0,0,0,0,1,0,3,4,0
29140116,유촌동,1102,29140,5267,0,0,0,0,3,0,0,0,1,6,10,0
29140133,동천동,1103,29140,5268,0,0,0,0,6,0,0,2,1,0,9,1
29140132,매월동,1104,29140,5269,0,0,3,0,0,0,0,1,0,2,6,0
29140126,세하동,1105,29140,5270,0,0,1,0,1,0,0,0,1,2,5,0
29140128,풍암동,1106,29140,5271,0,2,2,2,11,0,0,2,1,10,30,1
29170116,삼각동,1434,29170,5670,0,0,1,0,4,0,1,2,1,0,9,1
29110108,동명동,2073,29110,5656,0,0,1,0,4,0,0,1,1,5,12,1
29110110,동구_산수동,2074,29110,5657,1,0,0,0,8,0,0,2,2,20,33,2
29110109,계림동,2075,29110,5658,0,0,1,2,6,0,0,6,2,14,31,1
29110133,금남로3가,166,29110,3413,0,0,0,0,1,1,0,0,0,0,2,0
29110132,금남로2가,165,29110,3414,0,0,0,0,2,0,0,0,0,0,2,0
29110131,금남로1가,164,29110,3415,0,0,0,0,0,0,0,0,0,0,0,1
29110130,충장로4가,163,29110,3416,0,0,0,1,0,0,0,0,1,0,2,0
29110129,충장로3가,162,29110,3417,0,0,0,1,0,0,0,0,0,0,1,0
29110128,충장로2가,161,29110,3418,0,0,0,0,0,0,0,0,0,0,0,0
29110127,충장로1가,160,29110,3419,0,0,0,0,0,0,0,0,0,0,0,0
29110126,용산동,482,29110,3420,0,0,1,0,4,0,0,2,1,8,16,0
29110121,운림동,157,29110,3421,0,0,0,0,1,4,0,2,0,11,18,0
29110122,학동,158,29110,3423,1,0,2,0,4,0,1,6,2,13,29,3
29110117,황금동,154,29110,3425,0,0,0,0,0,0,0,0,0,0,0,0
29110116,불로동,153,29110,3426,0,0,0,0,0,0,0,0,0,0,0,0
29110115,호남동,152,29110,3427,0,0,0,0,0,0,0,1,0,0,1,0
29110114,금동,151,29110,3428,0,0,0,0,0,0,0,1,0,2,3,0
29110107,장동,148,29110,3431,0,0,0,0,2,0,0,0,0,0,2,0
29110106,궁동,147,29110,3432,0,0,0,0,0,1,0,0,0,0,1,0
29110104,수기동,146,29110,3433,0,0,0,0,1,0,0,0,0,0,1,0
29110102,금남로5가,145,29110,3434,0,0,0,0,1,0,0,0,0,0,1,1
29110111,동구_지산동,2066,29110,3435,0,0,1,0,4,0,0,0,2,10,17,0
29110124,선교동,1750,29110,3437,0,0,1,0,0,0,0,0,0,6,7,0
29110101,대인동,178,29110,3438,1,0,1,1,2,2,0,2,0,0,9,0
29110120,용연동,1749,29110,3439,0,0,1,0,0,0,0,0,0,2,3,0
29110119,소태동,176,29110,3440,0,0,1,0,5,1,0,1,1,19,28,3
29110123,월남동,173,29110,3441,0,0,0,0,1,0,0,0,0,4,5,0
29110125,내남동,172,29110,3442,0,0,0,0,0,0,0,1,0,2,3,0
29110103,충장로5가,170,29110,3444,0,0,0,0,0,0,0,0,0,0,0,0
29110134,금남로4가,169,29110,3445,0,0,0,0,0,0,0,0,0,0,0,1
29200155,연산동,1235,29200,3244,0,0,0,0,0,0,0,0,0,2,2,0
29200142,요기동,1234,29200,3245,0,0,0,0,0,0,0,0,0,1,1,0
29200114,수완동,591,29200,3246,0,0,1,0,0,0,0,8,0,9,18,1
29200113,도천동,1554,29200,3247,0,0,0,0,0,0,0,0,0,1,1,0
29200112,비아동,1553,29200,3248,1,0,2,0,0,0,0,0,1,5,9,1
29200124,흑석동,929,29200,3249,0,0,0,0,0,0,0,0,0,0,0,0
29200138,하산동,588,29200,3250,0,0,0,0,0,0,0,0,1,4,5,0
29200146,월전동,1236,29200,3251,0,0,0,0,0,0,0,0,0,2,2,0
29200125,하남동,930,29200,3252,0,0,0,1,0,0,0,1,1,7,10,1
29200107,선암동,584,29200,3253,0,0,0,0,2,0,0,0,0,6,8,1
29200105,서봉동,569,29200,3254,0,0,0,0,0,0,0,0,0,2,2,0
29200106,운수동,568,29200,3255,0,0,1,0,0,0,0,0,0,1,2,0
29200202,오선동,567,29200,3256,0,0,0,0,0,0,0,0,0,1,1,0
29200178,광산구_동림동,566,29200,3257,0,0,0,0,0,0,0,0,0,1,1,0
