SGG_OID,carrot,job
1430,2,0
1431,3,135
1556,0,0
1560,0,0
1429,0,27
1433,0,40
2069,0,0
2071,0,0
1437,0,147
1435,0,26
2072,0,0
1098,0,145
1099,0,0
1102,0,0
1103,0,33
1104,0,0
1105,0,0
1106,3,31
1434,0,50
2073,1,4
2074,2,2
2075,0,67
166,0,0
165,0,0
164,0,0
163,0,0
162,0,0
161,0,0
160,0,213
482,0,0
157,0,0
158,0,103
154,0,0
153,0,0
152,1,0
151,0,0
148,0,0
147,0,0
146,0,0
145,0,0
2066,0,38
1750,0,0
178,0,0
1749,0,0
176,0,0
173,0,0
172,0,0
170,0,0
169,0,0
1235,0,0
1234,0,0
591,0,91
1554,0,0
1553,0,36
929,0,0
588,0,0
1236,0,0
930,0,553
584,0,0
569,0,0
568,0,0
567,0,0
566,2,0
565,0,0
563,0,0
562,0,0
561,0,0
560,0,0
559,0,0
589,0,0
581,0,0
580,0,0
579,0,13
578,0,0
577,0,0
576,0,0
575,0,0
574,1,0
571,0,0
572,0,0
570,0,0
549,3,0
548,0,0
547,0,0
546,0,0
583,0,0
582,0,0
519,2,44
518,1,28
517,2,50
516,0,0
515,0,0
514,2,153
528,0,0
527,0,0
526,0,0
525,2,115
524,1,0
523,0,0
522,0,0
521,0,5
520,1,76
530,0,0
529,0,0
558,0,0
557,0,0
556,0,0
555,0,0
554,0,0
553,0,0
1237,0,0
539,0,0
538,0,30
537,0,0
536,0,0
545,0,0
544,0,8
543,0,0
542,0,0
541,0,0
540,0,0
931,3,0
532,0,0
531,0,0
551,0,0
550,0,0
785,0,23
454,2,0
453,5,80
801,0,103
422,0,0
421,0,0
426,0,0
179,0,0
427,0,0
415,0,0
1428,0,5
1426,1,0
445,0,0
442,0,0
434,2,66
431,0,120
430,0,0
429,0,0
428,0,0
425,1,0
449,2,26
448,0,24
446,0,2
444,0,0
443,0,0
441,0,0
440,0,0
439,0,0
438,0,0
1142,0,0
1425,1,26
447,0,0
424,0,0
423,0,0
400,2,45
399,1,89
398,0,0
397,0,0
396,0,0
395,0,0
394,0,0
393,0,0
389,0,0
388,0,38
409,0,0
406,0,0
405,0,0
387,0,0
386,2,0
385,0,0
413,0,0
412,0,0
411,0,0
420,4,83
419,0,73
418,0,0
417,0,0
414,1,0
410,0,0
408,0,0
407,0,0
404,0,18
403,1,0
402,0,0
108,1,0
103,0,0
102,0,377
1096,3,44
1090,0,25
790,1,121
1092,4,157
114,3,93
112,3,0
131,0,0
97,0,0
168,0,0
100,1,210
101,1,18
104,0,289
105,0,11
106,0,54
107,0,355
109,0,256
110,0,75
111,0,64
113,0,119
115,0,78
116,0,32
117,0,2
118,0,454
119,0,197
120,0,2
121,0,0
