EMD_NM,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,OWN,JOB,CARROT,CHARGE
연제동,0,0,0,0,3,0,0,0,0,3,0,0,2,0
운암동,1,2,1,0,13,1,0,13,3,3,6,135,3,3
덕림동,0,0,1,0,0,0,0,0,0,1,0,0,0,1
삼거동,0,0,3,0,0,0,0,3,0,1,0,0,0,0
북구_동림동,0,0,1,0,6,0,0,3,1,6,6,27,2,3
일곡동,0,0,0,0,5,0,0,4,1,2,1,40,0,2
서석동,0,0,0,0,0,1,1,1,1,8,3,289,0,3
남동,0,0,0,0,1,0,0,0,0,0,0,0,0,0
북구_양산동,0,0,4,0,9,0,0,5,0,0,9,147,0,1
매곡동,0,0,0,0,8,0,1,3,1,0,2,26,0,0
광산동,0,1,0,0,1,0,0,0,0,0,0,0,0,0
서창동,0,0,1,0,0,0,0,0,0,5,0,145,0,0
벽진동,0,0,0,0,0,0,0,1,0,3,0,0,0,0
유촌동,0,0,0,0,3,0,0,0,1,6,0,0,0,0
동천동,0,0,0,0,6,0,0,2,1,0,15,33,0,1
매월동,0,0,3,0,0,0,0,1,0,2,0,0,0,0
세하동,0,0,1,0,1,0,0,0,1,2,0,0,0,0
풍암동,0,2,2,2,11,0,0,2,1,10,2,31,3,1
삼각동,0,0,1,0,4,0,1,2,1,0,2,50,0,1
동명동,0,0,1,0,4,0,0,1,1,5,4,4,1,1
동구_산수동,1,0,0,0,8,0,0,2,2,20,7,2,2,2
계림동,0,0,1,2,6,0,0,6,2,14,12,67,0,1
용산동,0,0,1,0,4,0,0,2,1,8,0,0,0,0
운림동,0,0,0,0,1,4,0,2,0,11,0,0,0,0
학동,1,0,2,0,4,0,1,6,2,13,13,114,0,3
황금동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
불로동,0,0,0,0,0,0,0,0,0,0,0,0,0,0
호남동,0,0,0,0,0,0,0,1,0,0,0,0,1,0
금동,0,0,0,0,0,0,0,1,0,2,0,0,0,0
장동,0,0,0,0,2,0,0,0,0,0,0,0,0,0
