EMD_CD,EMD_NM,SGG_OID,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,TOTAL,CHARGE,own,job,carrot,charge
29170129,연제동,1430,0,0,0,0,3,0,0,0,0,3,6,0,0,0,2,0
29170109,운암동,1431,1,2,1,0,13,1,0,13,3,3,37,3,6,135,3,3
29200176,덕림동,1556,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,1
29200160,삼거동,1560,0,0,3,0,0,0,0,3,0,1,7,0,0,0,0,0
29170108,북구_동림동,1429,0,0,1,0,6,0,0,3,1,6,17,3,6,27,2,3
29170127,일곡동,1433,0,0,0,0,5,0,0,4,1,2,12,2,1,40,0,2
29110118,서석동,2069,0,0,0,0,0,1,1,1,1,8,12,3,3,289,0,3
29110112,남동,2071,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29170128,북구_양산동,1437,0,0,4,0,9,0,0,5,0,0,18,1,9,147,0,1
29170117,매곡동,1435,0,0,0,0,8,0,1,3,1,0,13,0,2,26,0,0
29110113,광산동,2072,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
29140125,서창동,1098,0,0,1,0,0,0,0,0,0,5,6,0,0,145,0,0
29140129,벽진동,1099,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0
29140116,유촌동,1102,0,0,0,0,3,0,0,0,1,6,10,0,0,0,0,0
29140133,동천동,1103,0,0,0,0,6,0,0,2,1,0,9,1,15,33,0,1
29140132,매월동,1104,0,0,3,0,0,0,0,1,0,2,6,0,0,0,0,0
29140126,세하동,1105,0,0,1,0,1,0,0,0,1,2,5,0,0,0,0,0
29140128,풍암동,1106,0,2,2,2,11,0,0,2,1,10,30,1,2,31,3,1
29170116,삼각동,1434,0,0,1,0,4,0,1,2,1,0,9,1,2,50,0,1
29110108,동명동,2073,0,0,1,0,4,0,0,1,1,5,12,1,4,4,1,1
29110110,동구_산수동,2074,1,0,0,0,8,0,0,2,2,20,33,2,7,2,2,2
29110109,계림동,2075,0,0,1,2,6,0,0,6,2,14,31,1,12,67,0,1
29110126,용산동,482,0,0,1,0,4,0,0,2,1,8,16,0,0,0,0,0
29110121,운림동,157,0,0,0,0,1,4,0,2,0,11,18,0,0,0,0,0
29110122,학동,158,1,0,2,0,4,0,1,6,2,13,29,3,13,114,0,3
29110117,황금동,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29110116,불로동,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29110115,호남동,152,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
29110114,금동,151,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0
29110107,장동,148,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
29110106,궁동,147,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
29110104,수기동,146,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29110111,동구_지산동,2066,0,0,1,0,4,0,0,0,2,10,17,0,2,38,0,0
29110124,선교동,1750,0,0,1,0,0,0,0,0,0,6,7,0,0,0,0,0
29110101,대인동,178,1,0,1,1,2,2,0,2,0,0,9,0,0,0,0,0
29110120,용연동,1749,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0
29110119,소태동,176,0,0,1,0,5,1,0,1,1,19,28,3,18,54,0,3
29110123,월남동,173,0,0,0,0,1,0,0,0,0,4,5,0,0,0,0,0
29110125,내남동,172,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0
29200155,연산동,1235,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200142,요기동,1234,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200114,수완동,591,0,0,1,0,0,0,0,8,0,9,18,1,21,91,0,1
29200113,도천동,1554,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200112,비아동,1553,1,0,2,0,0,0,0,0,1,5,9,1,1,36,0,1
29200124,흑석동,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29200138,하산동,588,0,0,0,0,0,0,0,0,1,4,5,0,0,2,0,0
29200146,월전동,1236,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200125,하남동,930,0,0,0,1,0,0,0,1,1,7,10,1,14,553,0,1
29200107,선암동,584,0,0,0,0,2,0,0,0,0,6,8,1,0,0,0,1
29200105,서봉동,569,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200106,운수동,568,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
29200202,오선동,567,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200178,광산구_동림동,566,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200177,광산구_양산동,565,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0
29200175,동호동,563,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200174,명도동,562,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200173,북산동,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
