EMD_CD,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,OWN,JOB,CARROT,CHARGE
29170129,0,0,0,0,3,0,0,0,0,3,0,0,2,0
29170109,1,2,1,0,13,1,0,13,3,3,6,135,3,3
29200176,0,0,1,0,0,0,0,0,0,1,0,0,0,1
29200160,0,0,3,0,0,0,0,3,0,1,0,0,0,0
29170108,0,0,1,0,6,0,0,3,1,6,6,27,2,3
29170127,0,0,0,0,5,0,0,4,1,2,1,40,0,2
29110118,0,0,0,0,0,1,1,1,1,8,3,289,0,3
29110112,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29170128,0,0,4,0,9,0,0,5,0,0,9,147,0,1
29170117,0,0,0,0,8,0,1,3,1,0,2,26,0,0
29110113,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29140125,0,0,1,0,0,0,0,0,0,5,0,145,0,0
29140129,0,0,0,0,0,0,0,1,0,3,0,0,0,0
29140116,0,0,0,0,3,0,0,0,1,6,0,0,0,0
29140133,0,0,0,0,6,0,0,2,1,0,15,33,0,1
29140132,0,0,3,0,0,0,0,1,0,2,0,0,0,0
29140126,0,0,1,0,1,0,0,0,1,2,0,0,0,0
29140128,0,2,2,2,11,0,0,2,1,10,2,31,3,1
29170116,0,0,1,0,4,0,1,2,1,0,2,50,0,1
29110108,0,0,1,0,4,0,0,1,1,5,4,4,1,1
29110110,1,0,0,0,8,0,0,2,2,20,7,2,2,2
29110109,0,0,1,2,6,0,0,6,2,14,12,67,0,1
29110126,0,0,1,0,4,0,0,2,1,8,0,0,0,0
29110121,0,0,0,0,1,4,0,2,0,11,0,0,0,0
29110122,1,0,2,0,4,0,1,6,2,13,13,114,0,3
29110117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29110116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29110115,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29110114,0,0,0,0,0,0,0,1,0,2,0,0,0,0
29110107,0,0,0,0,2,0,0,0,0,0,0,0,0,0
29110106,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29110104,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29110111,0,0,1,0,4,0,0,0,2,10,2,38,0,0
29110124,0,0,1,0,0,0,0,0,0,6,0,0,0,0
29110101,1,0,1,1,2,2,0,2,0,0,0,0,0,0
29110120,0,0,1,0,0,0,0,0,0,2,0,0,0,0
29110119,0,0,1,0,5,1,0,1,1,19,18,54,0,3
29110123,0,0,0,0,1,0,0,0,0,4,0,0,0,0
29110125,0,0,0,0,0,0,0,1,0,2,0,0,0,0
29200155,0,0,0,0,0,0,0,0,0,2,0,0,0,0
29200142,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29200114,0,0,1,0,0,0,0,8,0,9,21,91,0,1
29200113,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29200112,1,0,2,0,0,0,0,0,1,5,1,36,0,1
29200124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
