,주소
0,"
광주 북구 일곡마을로 225"
1,"
광주 서구 상무대로 809
1상무역 6번 출구에서204m"
2,"
광주 광산구 왕버들로251번길 27"
3,"
광주 북구 신안동 217"
4,"
광주 광산구 송정동 820-14
1광주송정역 1번 출구에서583m"
5,"
광주 남구 대남대로159번길 40"
6,"
광주 서구 양동 204
1금남로5가역 1번 출구에서551m"
7,"
광주 북구 우치로 77"
8,"
광주 광산구 왕버들로252번길 46"
9,"
광주 서구 상무대로956번길 16
1운천역 2번 출구에서231m"
10,"
광주 서구 금화로115번길 9"
11,"
광주 북구 동문대로 5-1"
12,"
광주 서구 풍암중앙로 25"
13,"
광주 동구 필문대로 365
1남광주역 5번 출구에서457m"
14,"
광주 북구 용봉로138번길 24"
15,"
광주 북구 매곡로 93"
16,"
광주 광산구 월곡동 708"
17,"
광주 서구 화정동 932-1"
18,"
광주 서구 월드컵4강로28번길 60"
19,"
광주 서구 화개1로 33"
20,"
광주 북구 두암동 909"
21,"
광주 광산구 소촌동 271-4"
22,"
광주 북구 자미로 55"
23,"
광주 북구 임방울대로1041번길 3"
24,"
광주 북구 연제동 36-9"
25,"
광주 서구 양동 438-5"
26,"
광주 동구 지산동 724-2"
27,"
광주 서구 금호동 780"
28,"
광주 서구 금호동 745"
29,"
광주 북구 신안동 214"
30,"
광주 북구 북문대로 168"
31,"
광주 북구 하백로 45"
32,"
광주 서구 상일로14번길 11
1쌍촌역 3번 출구에서961m"
33,"
광주 광산구 수등로 205"
34,"
광주 광산구 장덕동 1299"
35,"
광주 서구 광천동 39-2
1농성역 6번 출구에서920m"
36,"
광주 광산구 월계동 901"
37,"
광주 서구 화정동 877"
38,"
광주 광산구 장덕동 1698"
39,"
광주 북구 서하로 377-1"
40,"
광주 서구 화정동 932-1"
41,"
광주 광산구 목련로21번길 45"
42,"
광주 서구 내방로240번길 10
1쌍촌역 3번 출구에서837m"
43,"
광주 서구 천변좌로222번길 3-2
1양동시장역 3번 출구에서100m"
44,"
광주 북구 양산동 산125-13"
45,"
광주 북구 설죽로 555"
46,"
광주 남구 진월동"
47,"
광주 광산구 흑석동 59-2"
48,"
광주 북구 중흥동 4"
49,"
광주 남구 서문대로 754"
50,"
광주 북구 문흥동 1017"
51,"
광주 동구 필문대로159번길 15"
52,"
광주 북구 두암동 607"
53,"
광주 광산구 우산로 47"
54,"
광주 동구 산수동 561-1"
55,"
광주 남구 임암동 산90-11"
56,"
광주 광산구 월곡동 635"
57,"
광주 북구 매곡동 42-11"
58,"
광주 서구 화정동 23-5
1농성역 5번 출구에서720m"
59,"
광주 서구 치평동 1229
1운천역 3번 출구에서881m"
60,"
광주 남구 백운로82번길 10"
61,"
광주 남구 진월동"
62,"
광주 북구 임방울대로1041번길 15"
63,"
광주 서구 화개1로 59-2"
64,"
광주 광산구 첨단중앙로68번길 134"
65,"
광주 남구 봉선동 1053"
66,"
광주 동구 계림동 66-1"
67,"
광주 남구 서문대로 749"
68,"
광주 서구 동천동 754"
69,"
광주 북구 하서로423번길 33"
70,"
광주 서구 쌍촌동 1269
1운천역 3번 출구에서932m"
71,"
광주 북구 용두동 276-15"
72,"
광주 동구 중앙로 165
1금남로4가역 1번 출구에서222m"
73,"
광주 광산구 우산동 1612-2"
74,"
광주 북구 문흥동 1017"
75,"
광주 북구 용봉동 1430"
76,"
광주 광산구 월계동 853"
77,"
광주 동구 제봉로 19
1남광주역 4번 출구에서110m"
78,"
광주 광산구 상무대로 201
1광주송정역 4번 출구에서15m"
79,"
광주 동구 학동 1004-35
1학동.증심사입구역 4번 출구에서679m"
80,"
광주 북구 용봉택지로 20"
81,"
광주 동구 증심천로 88
1학동.증심사입구역 4번 출구에서959m"
82,"
광주 광산구 송도로 271
1송정공원역 2번 출구에서803m"
83,"
광주 동구 천변우로 415
1문화전당역 3번 출구에서583m"
