ORG_NUM,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,CHARGE
1430,0,0,0,0,3,0,0,0,0,3,0
1431,1,2,1,0,13,1,0,13,3,3,3
1556,0,0,1,0,0,0,0,0,0,1,1
1560,0,0,3,0,0,0,0,3,0,1,0
1429,0,0,1,0,6,0,0,3,1,6,3
1433,0,0,0,0,5,0,0,4,1,2,2
2069,0,0,0,0,0,1,1,1,1,8,3
2071,0,0,0,0,1,0,0,0,0,0,0
1437,0,0,4,0,9,0,0,5,0,0,1
1435,0,0,0,0,8,0,1,3,1,0,0
2072,0,1,0,0,1,0,0,0,0,0,0
1098,0,0,1,0,0,0,0,0,0,5,0
1099,0,0,0,0,0,0,0,1,0,3,0
1102,0,0,0,0,3,0,0,0,1,6,0
1103,0,0,0,0,6,0,0,2,1,0,1
1104,0,0,3,0,0,0,0,1,0,2,0
1105,0,0,1,0,1,0,0,0,1,2,0
1106,0,2,2,2,11,0,0,2,1,10,1
1434,0,0,1,0,4,0,1,2,1,0,1
2073,0,0,1,0,4,0,0,1,1,5,1
2074,1,0,0,0,8,0,0,2,2,20,2
2075,0,0,1,2,6,0,0,6,2,14,1
482,0,0,1,0,4,0,0,2,1,8,0
157,0,0,0,0,1,4,0,2,0,11,0
158,1,0,2,0,4,0,1,6,2,13,3
154,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,1,0,0,0
151,0,0,0,0,0,0,0,1,0,2,0
148,0,0,0,0,2,0,0,0,0,0,0
147,0,0,0,0,0,1,0,0,0,0,0
146,0,0,0,0,1,0,0,0,0,0,0
2066,0,0,1,0,4,0,0,0,2,10,0
1750,0,0,1,0,0,0,0,0,0,6,0
178,1,0,1,1,2,2,0,2,0,0,0
1749,0,0,1,0,0,0,0,0,0,2,0
176,0,0,1,0,5,1,0,1,1,19,3
173,0,0,0,0,1,0,0,0,0,4,0
172,0,0,0,0,0,0,0,1,0,2,0
1235,0,0,0,0,0,0,0,0,0,2,0
1234,0,0,0,0,0,0,0,0,0,1,0
591,0,0,1,0,0,0,0,8,0,9,1
1554,0,0,0,0,0,0,0,0,0,1,0
1553,1,0,2,0,0,0,0,0,1,5,1
929,0,0,0,0,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0,0,1,4,0
1236,0,0,0,0,0,0,0,0,0,2,0
930,0,0,0,1,0,0,0,1,1,7,1
584,0,0,0,0,2,0,0,0,0,6,1
569,0,0,0,0,0,0,0,0,0,2,0
568,0,0,1,0,0,0,0,0,0,1,0
567,0,0,0,0,0,0,0,0,0,1,0
566,0,0,0,0,0,0,0,0,0,1,0
565,0,0,1,0,0,0,0,0,0,3,0
563,0,0,0,0,0,0,0,0,0,1,0
562,0,0,0,0,0,0,0,0,0,2,0
561,0,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,1,0
559,0,0,0,0,0,0,0,0,0,2,0
589,0,0,0,0,0,0,0,0,0,2,0
581,0,0,0,0,0,0,0,0,0,3,0
580,0,0,0,0,0,0,0,0,1,3,1
579,0,0,0,0,0,0,0,0,0,2,0
578,0,0,0,0,0,0,0,0,0,2,0
577,0,0,0,0,0,0,0,0,0,1,0
576,0,0,1,0,0,0,0,0,0,2,0
575,0,0,0,0,0,0,0,0,0,3,0
574,0,0,0,0,0,0,0,0,0,1,0
571,0,0,0,0,0,0,0,0,0,3,0
572,0,0,0,0,0,0,0,0,0,1,0
570,0,0,0,0,0,0,0,0,0,3,0
549,0,0,0,0,0,0,0,0,0,1,0
548,0,0,0,0,0,0,0,0,0,4,0
547,0,0,0,0,0,0,0,0,0,1,0
546,0,0,0,0,0,0,0,0,0,2,0
583,0,0,0,0,0,0,0,0,0,6,0
582,0,0,0,0,0,0,0,0,0,4,0
519,0,0,1,0,2,0,0,5,1,8,2
518,0,0,0,0,2,0,0,3,1,11,0
517,0,0,2,0,0,0,0,3,1,19,0
516,0,0,1,0,0,0,0,1,0,13,1
515,0,1,0,1,0,0,0,9,1,4,1
514,0,1,0,0,2,0,0,4,1,10,2
